brick/math                         0.11.0  Arbitrary-precision arithmetic library
dflydev/dot-access-data            3.0.2   Given a deep data structure, access data by dot notation.
doctrine/inflector                 2.0.6   PHP Doctrine Inflector is a small library that can per...
doctrine/lexer                     3.0.0   PHP Doctrine Lexer parser library that can be used in ...
dragonmantank/cron-expression      3.3.2   CRON for PHP: Calculate the next or previous run date ...
egulias/email-validator            4.0.1   A library for validating emails against several RFCs
fakerphp/faker                     1.21.0  Faker is a PHP library that generates fake data for you.
filp/whoops                        2.15.2  php error handling for cool kids
fruitcake/php-cors                 1.2.0   Cross-origin resource sharing library for the Symfony ...
graham-campbell/result-type        1.1.1   An Implementation Of The Result Type
guzzlehttp/guzzle                  7.5.1   Guzzle is a PHP HTTP client library
guzzlehttp/promises                1.5.2   Guzzle promises library
guzzlehttp/psr7                    2.5.0   PSR-7 message implementation that also provides common...
guzzlehttp/uri-template            1.0.1   A polyfill class for uri_template of PHP
hamcrest/hamcrest-php              2.0.1   This is the PHP port of Hamcrest Matchers
laravel/framework                  10.7.1  The Laravel Framework.
laravel/pint                       1.8.0   An opinionated code formatter for PHP.
laravel/sail                       1.21.4  Docker files for running a basic Laravel application.
laravel/sanctum                    3.2.1   Laravel Sanctum provides a featherweight authenticatio...
laravel/serializable-closure       1.3.0   Laravel Serializable Closure provides an easy and secu...
laravel/tinker                     2.8.1   Powerful REPL for the Laravel framework.
league/commonmark                  2.4.0   Highly-extensible PHP Markdown parser which fully supp...
league/config                      1.2.0   Define configuration arrays with strict schemas and ac...
league/flysystem                   3.14.0  File storage abstraction for PHP
league/mime-type-detection         1.11.0  Mime-type detection for Flysystem
mockery/mockery                    1.5.1   Mockery is a simple yet flexible PHP mock object frame...
monolog/monolog                    3.3.1   Sends your logs to files, sockets, inboxes, databases ...
myclabs/deep-copy                  1.11.1  Create deep copies (clones) of your objects
nesbot/carbon                      2.66.0  An API extension for DateTime that supports 281 differ...
nette/schema                       1.2.3   📐 Nette Schema: validating data structures against ...
nette/utils                        4.0.0   🛠  Nette Utils: lightweight utilities for string & ...
nikic/php-parser                   4.15.4  A PHP parser written in PHP
nunomaduro/collision               7.5.0   Cli error handling for console/command-line PHP applic...
nunomaduro/termwind                1.15.1  Its like Tailwind CSS, but for the console.
phar-io/manifest                   2.0.3   Component for reading phar.io manifest information fro...
phar-io/version                    3.2.1   Library for handling version information and constraints
phpoption/phpoption                1.9.1   Option Type for PHP
phpunit/php-code-coverage          10.1.1  Library that provides collection, processing, and rend...
phpunit/php-file-iterator          4.0.1   FilterIterator implementation that filters files based...
phpunit/php-invoker                4.0.0   Invoke callables with a timeout
phpunit/php-text-template          3.0.0   Simple template engine.
phpunit/php-timer                  6.0.0   Utility class for timing
phpunit/phpunit                    10.1.1  The PHP Unit Testing framework.
psr/container                      2.0.2   Common Container Interface (PHP FIG PSR-11)
psr/event-dispatcher               1.0.0   Standard interfaces for event handling.
psr/http-client                    1.0.2   Common interface for HTTP clients
psr/http-factory                   1.0.2   Common interfaces for PSR-7 HTTP message factories
psr/http-message                   2.0     Common interface for HTTP messages
psr/log                            3.0.0   Common interface for logging libraries
psr/simple-cache                   3.0.0   Common interfaces for simple caching
psy/psysh                          0.11.15 An interactive shell for modern PHP.
ralouphie/getallheaders            3.0.3   A polyfill for getallheaders.
